"Step","iTypeC","fCtr_A","fCtr_B","fCtr_C","fCtr_D","fCtr_E","fCtr_H_On","fCtr_S_On","fCtr_L_On","fCtr_H_Off","fCtr_S_Off","fCtr_L_Off","iTypeS","fStrb_A","fStrb_B","fStrb_C","fStrb_D","fStrb_E","lPattern","fStrb_H_On","fStrb_S_On","fStrb_L_On","fStrb_H_Off","fStrb_S_Off","fStrb_L_Off","lSeqTime","Total time","Tot Sec","Hours","Minutes","Seconds"
22,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
23,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
24,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
25,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
26,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
27,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
28,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
29,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
30,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
31,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.10,0.10,0.80,0.05,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,
